task_id,skill_id,also_evidences,mechanic_id,target_content_id,distractors,option_count,prompt_copy,feedback_correct_copy,feedback_retry_copy,hint1_copy,hint2_copy,simpler_task_id,reward
BAL-001,visual_letter_recognition,letter_name_recognition,balloon_game,letter:mem,letter:shin|letter:gimel,3,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,BAL-001-S,coin:1
BAL-002,visual_letter_recognition,letter_name_recognition,balloon_game,letter:shin,letter:resh|letter:dalet,3,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,BAL-002-S,coin:1
BAL-003,visual_letter_recognition,letter_name_recognition,balloon_game,letter:gimel,letter:bet|letter:lamed,3,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,BAL-003-S,coin:1
BAL-004,visual_letter_recognition,letter_name_recognition,balloon_game,letter:resh,letter:dalet|letter:mem,3,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,BAL-004-S,coin:1
BAL-005,visual_letter_recognition,letter_name_recognition,balloon_game,letter:dalet,letter:bet|letter:shin,3,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,BAL-005-S,coin:1
BAL-001-S,visual_letter_recognition,letter_name_recognition,balloon_game,letter:mem,letter:shin,2,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,,coin:1
BAL-002-S,visual_letter_recognition,letter_name_recognition,balloon_game,letter:shin,letter:resh,2,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,,coin:1
BAL-003-S,visual_letter_recognition,letter_name_recognition,balloon_game,letter:gimel,letter:bet,2,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,,coin:1
BAL-004-S,visual_letter_recognition,letter_name_recognition,balloon_game,letter:resh,letter:dalet,2,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,,coin:1
BAL-005-S,visual_letter_recognition,letter_name_recognition,balloon_game,letter:dalet,letter:bet,2,bal.prompt.find_letter,bal.ok.found,bal.retry.look_again,hint.listen_name,hint.starts_with_sound,,coin:1
FIS-001,visual_letter_recognition,letter_name_recognition,fishing_game,letter:resh,letter:mem|letter:dalet,3,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,FIS-001-S,coin:1
FIS-002,visual_letter_recognition,letter_name_recognition,fishing_game,letter:bet,letter:gimel|letter:shin,3,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,FIS-002-S,coin:1
FIS-003,visual_letter_recognition,letter_name_recognition,fishing_game,letter:lamed,letter:alef|letter:mem,3,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,FIS-003-S,coin:1
FIS-004,visual_letter_recognition,letter_name_recognition,fishing_game,letter:dalet,letter:resh|letter:bet,3,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,FIS-004-S,coin:1
FIS-005,visual_letter_recognition,letter_name_recognition,fishing_game,letter:mem,letter:lamed|letter:gimel,3,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,FIS-005-S,coin:1
FIS-001-S,visual_letter_recognition,letter_name_recognition,fishing_game,letter:resh,letter:mem,2,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,,coin:1
FIS-002-S,visual_letter_recognition,letter_name_recognition,fishing_game,letter:bet,letter:gimel,2,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,,coin:1
FIS-003-S,visual_letter_recognition,letter_name_recognition,fishing_game,letter:lamed,letter:alef,2,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,,coin:1
FIS-004-S,visual_letter_recognition,letter_name_recognition,fishing_game,letter:dalet,letter:resh,2,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,,coin:1
FIS-005-S,visual_letter_recognition,letter_name_recognition,fishing_game,letter:mem,letter:lamed,2,fis.prompt.fish_letter,fis.ok.caught,fis.retry.swam_away,hint.listen_name,hint.starts_with_sound,,coin:1
TRN-001,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:mem,letter:shin|letter:resh,3,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,TRN-001-S,coin:1
TRN-002,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:shin,letter:dalet|letter:gimel,3,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,TRN-002-S,coin:1
TRN-003,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:gimel,letter:bet|letter:lamed,3,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,TRN-003-S,coin:1
TRN-004,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:lamed,letter:resh|letter:alef,3,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,TRN-004-S,coin:1
TRN-005,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:bet,letter:dalet|letter:mem,3,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,TRN-005-S,coin:1
TRN-001-S,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:mem,letter:shin,2,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,,coin:1
TRN-002-S,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:shin,letter:dalet,2,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,,coin:1
TRN-003-S,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:gimel,letter:bet,2,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,,coin:1
TRN-004-S,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:lamed,letter:resh,2,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,,coin:1
TRN-005-S,visual_letter_recognition,letter_name_recognition,letter_train_game,letter:bet,letter:dalet,2,trn.prompt.open_gate,trn.ok.gate_opened,trn.retry.still_closed,hint.listen_name,hint.starts_with_sound,,coin:1
SND-001,letter_sound_correspondence,,match_game,letter_sound:m,letter_sound:sh|letter_sound:r,3,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,SND-001-S,coin:1
SND-002,letter_sound_correspondence,,match_game,letter_sound:sh,letter_sound:d|letter_sound:b,3,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,SND-002-S,coin:1
SND-003,letter_sound_correspondence,,match_game,letter_sound:r,letter_sound:l|letter_sound:g,3,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,SND-003-S,coin:1
SND-004,letter_sound_correspondence,,match_game,letter_sound:d,letter_sound:m|letter_sound:sh,3,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,SND-004-S,coin:1
SND-005,letter_sound_correspondence,,match_game,letter_sound:l,letter_sound:b|letter_sound:r,3,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,SND-005-S,coin:1
SND-001-S,letter_sound_correspondence,,match_game,letter_sound:m,letter_sound:sh,2,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,,coin:1
SND-002-S,letter_sound_correspondence,,match_game,letter_sound:sh,letter_sound:d,2,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,,coin:1
SND-003-S,letter_sound_correspondence,,match_game,letter_sound:r,letter_sound:l,2,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,,coin:1
SND-004-S,letter_sound_correspondence,,match_game,letter_sound:d,letter_sound:m,2,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,,coin:1
SND-005-S,letter_sound_correspondence,,match_game,letter_sound:l,letter_sound:b,2,snd.prompt.which_letter,snd.ok.found,snd.retry.listen_again,hint.replay_sound,hint.sound_like_word,,coin:1
PHO-001,opening_sound_recognition,,match_game,word:matara,word:dag|word:shemesh,3,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,PHO-001-S,coin:1
PHO-002,opening_sound_recognition,,match_game,word:shemesh,word:balon|word:dag,3,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,PHO-002-S,coin:1
PHO-003,opening_sound_recognition,,match_game,word:dag,word:rekhev|word:lev,3,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,PHO-003-S,coin:1
PHO-004,opening_sound_recognition,,match_game,word:balon,word:gamal|word:shemesh,3,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,PHO-004-S,coin:1
PHO-005,opening_sound_recognition,,match_game,word:lev,word:dag|word:matara,3,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,PHO-005-S,coin:1
PHO-001-S,opening_sound_recognition,,match_game,word:matara,word:dag,2,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,,coin:1
PHO-002-S,opening_sound_recognition,,match_game,word:shemesh,word:balon,2,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,,coin:1
PHO-003-S,opening_sound_recognition,,match_game,word:dag,word:rekhev,2,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,,coin:1
PHO-004-S,opening_sound_recognition,,match_game,word:balon,word:gamal,2,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,,coin:1
PHO-005-S,opening_sound_recognition,,match_game,word:lev,word:dag,2,pho.prompt.same_start,pho.ok.found,pho.retry.listen_first,hint.stretch_opening,hint.highlight_image,,coin:1
NIK-001,niqqud_combination_recognition,,match_game,niqqud_combo:mem_patah,niqqud_combo:mem_hiriq|niqqud_combo:mem_holam,3,nik.prompt.which_combo,nik.ok.found,nik.retry.listen_again,hint.replay_combo,hint.highlight_letter,NIK-001-S,coin:1
NIK-002,niqqud_combination_recognition,,match_game,niqqud_combo:shin_patah,niqqud_combo:shin_hiriq|niqqud_combo:shin_shuruq,3,nik.prompt.which_combo,nik.ok.found,nik.retry.listen_again,hint.replay_combo,hint.highlight_letter,NIK-002-S,coin:1
NIK-003,niqqud_combination_recognition,,match_game,niqqud_combo:dalet_qamats,niqqud_combo:dalet_hiriq|niqqud_combo:dalet_qubuts,3,nik.prompt.which_combo,nik.ok.found,nik.retry.listen_again,hint.replay_combo,hint.highlight_letter,NIK-003-S,coin:1
NIK-004,niqqud_combination_recognition,,match_game,niqqud_combo:resh_patah,niqqud_combo:resh_tsere|niqqud_combo:resh_holam,3,nik.prompt.which_combo,nik.ok.found,nik.retry.listen_again,hint.replay_combo,hint.highlight_letter,NIK-004-S,coin:1
NIK-005,niqqud_combination_recognition,,match_game,niqqud_combo:bet_qamats,niqqud_combo:bet_hiriq|niqqud_combo:bet_holam,3,nik.prompt.which_combo,nik.ok.found,nik.retry.listen_again,hint.replay_combo,hint.highlight_letter,NIK-005-S,coin:1
