copy_id,text_he,audio_ref,tokens,voiced,spec_ref,notes
bal.prompt.find_letter,"פוצץ את הבלון עם האות {{letter_name}}",bal-prompt-find-{{letter_name}}.mp3,letter_name,TRUE,4.2,"One whole-sentence recording per letter. Never a stem plus a spliced name."
bal.ok.found,"מצאת את {{letter_name}}!",bal-ok-found-{{letter_name}}.mp3,letter_name,TRUE,4.2,
bal.retry.look_again,"בוא נסתכל שוב על הסימנים.",bal-retry-look-again.mp3,,TRUE,4.4,"Balloon bobs on its string; it never pops or disappears."
fis.prompt.fish_letter,"דוג את האות {{letter_name}}",fis-prompt-fish-{{letter_name}}.mp3,letter_name,TRUE,5.2,
fis.ok.caught,"תפסת את {{letter_name}}!",fis-ok-caught-{{letter_name}}.mp3,letter_name,TRUE,5.2,
fis.retry.swam_away,"האות הזאת שוחה לה. נסה לדוג סימן אחר.",fis-retry-swam-away.mp3,,TRUE,5.4,
trn.prompt.open_gate,"פתח את הדרך עם האות {{letter_name}}",trn-prompt-open-{{letter_name}}.mp3,letter_name,TRUE,6.3,
trn.ok.gate_opened,"השער נפתח!",trn-ok-gate-opened.mp3,,TRUE,6.2,
trn.retry.still_closed,"השער הזה עדיין סגור. בוא ננסה דרך אחרת.",trn-retry-still-closed.mp3,,TRUE,6.4,
snd.prompt.which_letter,"איזו אות עושה את הצליל הזה?",snd-prompt-which-letter.mp3,,TRUE,7.2,"The sound itself plays as a separate clip right after."
snd.ok.found,"מצאת את {{letter_glyph}}",snd-ok-found-{{letter_glyph}}.mp3,letter_glyph,TRUE,7.3,
snd.retry.listen_again,"בוא נקשיב שוב לצליל.",snd-retry-listen-again.mp3,,TRUE,7.4,
pho.prompt.same_start,"מצא את המילה שמתחילה בצליל {{sound}}",pho-prompt-same-start-{{sound}}.mp3,sound,TRUE,8.2,
pho.ok.found,"נכון! {{word}} מתחילה בצליל {{sound}}",pho-ok-found-{{word}}.mp3,word|sound,TRUE,8.2,"Word and sound are both closed sets, so one recording per word covers it."
pho.retry.listen_first,"בוא נקשיב שוב לצליל הראשון.",pho-retry-listen-first.mp3,,TRUE,8.5,
nik.prompt.which_combo,"איזה צירוף מתאים לצליל?",nik-prompt-which-combo.mp3,,TRUE,9.2,
nik.ok.found,"מצאת את {{combo}}",nik-ok-found-{{combo}}.mp3,combo,TRUE,9.4,
nik.retry.listen_again,"בוא נקשיב שוב לצירוף.",nik-retry-listen-again.mp3,,TRUE,9.6,
hint.listen_name,"הקשב לשם האות: {{letter_name}}",hint-listen-name-{{letter_name}}.mp3,letter_name,TRUE,4.4,
hint.starts_with_sound,"האות שאנחנו מחפשים מתחילה בצליל {{sound}}",hint-starts-with-{{sound}}.mp3,sound,TRUE,4.4,
hint.replay_sound,"בוא נקשיב שוב לצליל.",hint-replay-sound.mp3,,TRUE,7.4,
hint.sound_like_word,"הצליל מתחיל כמו במילה {{word}}",hint-sound-like-{{word}}.mp3,word,TRUE,7.4,"Only words from the approved bank may appear here."
hint.stretch_opening,"{{stretched_sound}}… {{word}}",hint-stretch-{{word}}.mp3,stretched_sound|word,TRUE,8.5,"ONE recording, not two queued clips — spec 1.6 rule b."
hint.highlight_image,"חפש את הסימן שמתחיל בצליל הזה.",hint-highlight-image.mp3,,TRUE,20,
hint.replay_combo,"בוא נקשיב שוב לצירוף.",hint-replay-combo.mp3,,TRUE,9.6,
hint.highlight_letter,"הקשב לצירוף והסתכל על האות.",hint-highlight-letter.mp3,,TRUE,9.6,
ladder.offer_hint,"רוצה רמז קטן?",ladder-offer-hint.mp3,,TRUE,11.3,
ladder.offer_yes,"כן",,,FALSE,11.3,"Button label."
ladder.offer_no,"לא עכשיו",,,FALSE,11.3,"Button label. Declining is respected, never nagged."
ladder.reduce_options,"עכשיו נשארו רק שתי אפשרויות.",ladder-reduce-options.mp3,,TRUE,11.4,
ladder.demonstrate,"תראה איך זה עובד, ואז נסה אתה.",ladder-demonstrate.mp3,,TRUE,11.5,
ladder.simpler_task,"בוא נתחיל מצעד קטן.",ladder-simpler-task.mp3,,TRUE,11.6,
ladder.retry_generic,"בוא ננסה שוב.",ladder-retry-generic.mp3,,TRUE,20,
